article_id,title,content,cleaned_content
1,"Blinken presses Hamas to seal cease-fire with Israel, says 'the time is now' for a deal - The Associated Press","JERUSALEM (AP) U.S. Secretary of State Antony Blinken hiked up pressure on Hamas on Wednesday to accept the latest proposal for a cease-fire with Israel, saying the time is now for an agreement that … [+6400 chars]",jerusalem ap us secretary of state antony blinken hiked up pressure on hamas on wednesday to accept the latest proposal for a ceasefire with israel saying the time is now for an agreement that 6400 chars
2,Police on campus at Columbia and UCLA as protests disrupt colleges nationwide: Live updates - CNN,"In a photo shared with CNN by Tyler Katzenberger from the college paper The Daily Cardinal, Samer Alatout, an associate professor of community and environmental sociology, is seen being held to the g… [+1637 chars]",in a photo shared with cnn by tyler katzenberger from the college paper the daily cardinal samer alatout an associate professor of community and environmental sociology is seen being held to the g 1637 chars
3,Arizona Senate OKs bill to repeal the state's 1864 near-total abortion ban - The Associated Press,"PHOENIX (AP) The Arizona Legislature approved a repeal of a long-dormant ban on nearly all abortions Wednesday, advancing the bill to Democratic Gov. Katie Hobbs, who is expected to sign it.
Two Rep… [+5341 chars]",phoenix ap the arizona legislature approved a repeal of a longdormant ban on nearly all abortions wednesday advancing the bill to democratic gov katie hobbs who is expected to sign it two rep 5341 chars
4,Rwanda: Civil servants mount court challenge over new law - BBC.com,,
5,United Methodists repeal longstanding ban on LGBTQ clergy - The Associated Press,"CHARLOTTE, N.C. (AP) United Methodist delegates repealed their churchs longstanding ban on LGBTQ clergy with no debate on Wednesday, removing a rule forbidding self-avowed practicing homosexuals from… [+6545 chars]",charlotte nc ap united methodist delegates repealed their churchs longstanding ban on lgbtq clergy with no debate on wednesday removing a rule forbidding selfavowed practicing homosexuals from 6545 chars
6,"Long-predicted consumer pullback finally hits restaurants like Starbucks, KFC and McDonald's - CNBC","It's finally here: the long-predicted consumer pullback.
Starbucks announced a surprise drop in same-store sales for its latest quarter, sending its shares down 17% on Wednesday. Pizza Hut and KFC a… [+5588 chars]",its finally here the longpredicted consumer pullback starbucks announced a surprise drop in samestore sales for its latest quarter sending its shares down 17 on wednesday pizza hut and kfc a 5588 chars
7,"Harvey Weinstein faces new trial after rape conviction overturned, returns to prison - Fox News","A judge remanded Harvey Weinstein to prison during the entertainment mogul's first court hearing Wednesday following his rape conviction reversal, Fox News Digital can confirm.
Weinstein appeared in… [+4260 chars]",a judge remanded harvey weinstein to prison during the entertainment moguls first court hearing wednesday following his rape conviction reversal fox news digital can confirm weinstein appeared in 4260 chars
8,Election 2024: Trump returns to campaign facing jail warning - The Associated Press,"WAUKESHA, Wis. (AP) Donald Trump returned briefly to the campaign trail Wednesday and called the judge presiding over his hush money trial crooked a day after he was held in contempt of court and thr… [+4748 chars]",waukesha wis ap donald trump returned briefly to the campaign trail wednesday and called the judge presiding over his hush money trial crooked a day after he was held in contempt of court and thr 4748 chars
9,Federal Reserve issues FOMC statement - Federal Reserve,"Recent indicators suggest that economic activity has continued to expand at a solid pace. Job gains have remained strong, and the unemployment rate has remained low. Inflation has eased over the past… [+2540 chars]",recent indicators suggest that economic activity has continued to expand at a solid pace job gains have remained strong and the unemployment rate has remained low inflation has eased over the past 2540 chars
10,14-year-old suspect dead after active shooter reported outside Wisconsin middle school: Sources - ABC News,"A 14-year-old suspect is dead following a confrontation with police Wednesday after an active shooter was reported outside a Wisconsin middle school, sources told ABC News.
The teen had approached M… [+1245 chars]",a 14yearold suspect is dead following a confrontation with police wednesday after an active shooter was reported outside a wisconsin middle school sources told abc news the teen had approached m 1245 chars
11,"Tesla Is Pulling Back From EV Charging, and People Are Freaking Out - The Wall Street Journal",None,none
